ingredient_name,ingredient_id,base_category,function_id,function_tag_jp,function_tag_en,function_tag_cn,product_count_pair,product_count_ingredient,popularity_score,recommendation_score
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F06,コレステロール,Cholesterol,胆固醇,4,75,44,78
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F17,抗酸化,Antioxidant,抗氧化,4,75,44,78
納豆菌由来ナットウキナーゼ,ING-0078,ナットウキナーゼ,F27,血管の健康,Vascular Health,血管健康,4,22,44,61
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F05,体脂肪,Body Fat,体脂肪,4,57,44,74
ヒハツ由来ピぺリン類,ING-0230,ヒハツ,F15,肌の健康,Skin Health,皮肤健康,4,4,44,40
ヒハツ由来ピぺリン類,ING-0230,ヒハツ,F20,血流,Blood Circulation,血液循环,4,4,44,40
バタフライピー由来アントシアニン(テルナチン),ING-0157,ブルーベリー,F02,血糖値,Blood Sugar,血糖调节,4,7,44,46
γ-アミノ酪酸,ING-0058,γ-アミノ酪酸,F05,体脂肪,Body Fat,体脂肪,4,34,44,67
タキシフォリン,ING-0196,タキシフォリン,F07,認知機能,Cognitive Function,认知功能,4,5,44,43
クルクミン,ING-0081,ウコン,F09,睡眠,Sleep Quality,睡眠质量,4,20,44,60
リジン,ING-0198,リジン,F19,筋肉,Muscle Health,肌肉健康,4,5,44,43
バリン,ING-0199,バリン,F19,筋肉,Muscle Health,肌肉健康,4,5,44,43
イソロイシン,ING-0200,イソロイシン,F19,筋肉,Muscle Health,肌肉健康,4,5,44,43
スレオニン,ING-0231,スレオニン,F19,筋肉,Muscle Health,肌肉健康,4,4,44,40
フェニルアラニン,ING-0201,フェニルアラニン,F19,筋肉,Muscle Health,肌肉健康,4,5,44,43
メチオニン,ING-0232,メチオニン,F19,筋肉,Muscle Health,肌肉健康,4,4,44,40
ヒスチジン,ING-0148,ヒスチジン,F19,筋肉,Muscle Health,肌肉健康,4,8,44,48
トリプトファン〕,ING-0202,トリプトファン〕,F19,筋肉,Muscle Health,肌肉健康,4,5,44,43
ジンセノサイドRg1,ING-0156,高麗人参,F07,認知機能,Cognitive Function,认知功能,4,7,44,46
Rb1,ING-0204,Rb1,F07,認知機能,Cognitive Function,认知功能,4,5,44,43
酢酸菌GK-1,ING-0042,醸造酢,F14,目の健康,Eye Health,眼部健康,4,50,44,72
γ-アミノ酪酸,ING-0058,γ-アミノ酪酸,F04,中性脂肪,Triglycerides,甘油三酯,4,34,44,67
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F09,睡眠,Sleep Quality,睡眠质量,4,68,44,76
乳酸菌NY1301株,ING-0069,乳酸菌・プロバイオティクス,F09,睡眠,Sleep Quality,睡眠质量,4,26,44,63
乳酸菌NY1301株,ING-0069,乳酸菌・プロバイオティクス,F11,疲労感,Anti-Fatigue,抗疲劳,4,26,44,63
3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸,ING-0025,3-(4-ヒドロキシ-3-メト,F01,腸内環境,Gut Health,肠道健康,4,68,44,76
桑由来モラノリン,ING-0233,桑モラノリン,F02,血糖値,Blood Sugar,血糖调节,4,4,44,40
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F17,抗酸化,Antioxidant,抗氧化,4,57,44,74
ユーグレナグラシリス由来パラミロン,ING-0207,ユーグレナグラシリスパラミロン,F10,リラックス,Stress Relief,放松减压,4,5,44,43
ユーグレナグラシリス由来パラミロン,ING-0207,ユーグレナグラシリスパラミロン,F11,疲労感,Anti-Fatigue,抗疲劳,4,5,44,43
ユーグレナグラシリス由来パラミロン,ING-0207,ユーグレナグラシリスパラミロン,F14,目の健康,Eye Health,眼部健康,4,5,44,43
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F10,リラックス,Stress Relief,放松减压,4,57,44,74
イソマルトデキストリン(食物繊維) GABA,ING-0234,食物繊維,F02,血糖値,Blood Sugar,血糖调节,4,4,44,40
イソマルトデキストリン(食物繊維) GABA,ING-0234,食物繊維,F03,血圧,Blood Pressure,血压,4,4,44,40
イソマルトデキストリン(食物繊維) GABA,ING-0234,食物繊維,F04,中性脂肪,Triglycerides,甘油三酯,4,4,44,40
ゼアキサンチン,ING-0007,ルテイン,F17,抗酸化,Antioxidant,抗氧化,4,151,44,78
ビルベリー由来アントシアニン,ING-0031,ブルーベリー,F07,認知機能,Cognitive Function,认知功能,4,61,44,75
オレイン酸,ING-0235,オレイン酸,F06,コレステロール,Cholesterol,胆固醇,4,4,44,40
γ-アミノ酪酸,ING-0058,γ-アミノ酪酸,F14,目の健康,Eye Health,眼部健康,4,34,44,67
クエン酸,ING-0020,クエン酸,F03,血圧,Blood Pressure,血压,4,73,44,78
ジャバラ果皮粉末エキス(指標成分:ナリルチン、クロロフィルab),ING-0175,ジャバラ果皮粉末エキス(指標成,F14,目の健康,Eye Health,眼部健康,4,6,44,45
DHA,ING-0040,魚油（DHA・EPA）,F15,肌の健康,Skin Health,皮肤健康,4,53,44,73
EPA,ING-0043,魚油（DHA・EPA）,F03,血圧,Blood Pressure,血压,4,49,44,72
EPA,ING-0043,魚油（DHA・EPA）,F15,肌の健康,Skin Health,皮肤健康,4,49,44,72
大豆由来ホスファチジルセリン,ING-0106,大豆イソフラボン,F08,集中力,Concentration,专注力,4,14,44,55
ラクトフェリン,ING-0115,ラクトフェリン,F05,体脂肪,Body Fat,体脂肪,4,12,44,54
ガレート型カテキン,ING-0048,緑茶カテキン,F08,集中力,Concentration,专注力,4,44,44,70
テアニン,ING-0116,テアニン,F04,中性脂肪,Triglycerides,甘油三酯,4,12,44,54
テアニン,ING-0116,テアニン,F05,体脂肪,Body Fat,体脂肪,4,12,44,54
サイリウム種皮由来の食物繊維,ING-0177,食物繊維,F02,血糖値,Blood Sugar,血糖调节,4,6,44,45
サイリウム種皮由来の食物繊維,ING-0177,食物繊維,F03,血圧,Blood Pressure,血压,4,6,44,45
サイリウム種皮由来の食物繊維,ING-0177,食物繊維,F04,中性脂肪,Triglycerides,甘油三酯,4,6,44,45
乳酸菌CP1563株由来の10-ヒドロキシオクタデカン酸(10-HOA),ING-0236,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,4,4,44,40
エピガロカテキンガレート,ING-0057,緑茶カテキン,F01,腸内環境,Gut Health,肠道健康,4,35,44,67
N-アセチルグルコサミン,ING-0013,グルコサミン,F01,腸内環境,Gut Health,肠道健康,4,94,44,78
ヒスチジン,ING-0148,ヒスチジン,F08,集中力,Concentration,专注力,4,8,44,48
コラーゲンペプチド,ING-0045,コラーゲン,F12,骨の健康,Bone Health,骨骼健康,4,46,44,71
モノグルコシルルチン,ING-0112,モノグルコシルルチン,F02,血糖値,Blood Sugar,血糖调节,4,12,44,54
モノグルコシルルチン,ING-0112,モノグルコシルルチン,F05,体脂肪,Body Fat,体脂肪,4,12,44,54
乳糖果糖オリゴ糖,ING-0238,乳糖果糖オリゴ糖,F01,腸内環境,Gut Health,肠道健康,4,4,44,40
乳酸菌クレモリスH61株,ING-0239,乳酸菌・プロバイオティクス,F15,肌の健康,Skin Health,皮肤健康,4,4,44,40
モノグルコシルヘスペリジン,ING-0055,モノグルコシルヘスペリジン,F04,中性脂肪,Triglycerides,甘油三酯,4,36,44,68
ゲンクワニン5-O-β-プリメベロシド,ING-0240,ゲンクワニン5-O-β-プリメ,F01,腸内環境,Gut Health,肠道健康,4,4,44,40
マンギフェリン,ING-0241,マンギフェリン,F01,腸内環境,Gut Health,肠道健康,4,4,44,40
5-アミノレブリン酸リン酸塩,ING-0093,5-アミノレブリン酸リン酸塩,F10,リラックス,Stress Relief,放松减压,4,17,44,58
乳酸菌LS1,ING-0242,乳酸菌・プロバイオティクス,F23,口腔ケア,Oral Health,口腔健康,4,4,44,40
ビルベリー果実由来アントシアニン,ING-0169,ブルーベリー,F11,疲労感,Anti-Fatigue,抗疲劳,4,6,44,45
松樹皮由来プロシアニジン,ING-0155,りんご,F06,コレステロール,Cholesterol,胆固醇,4,7,44,46
オーランチオキトリウム由来DHA,ING-0189,魚油（DHA・EPA）,F07,認知機能,Cognitive Function,认知功能,4,5,44,43
ビフィズス菌(ロンガム種BB536),ING-0243,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,4,4,44,40
大麦β-グルカン,ING-0064,β-グルカン,F06,コレステロール,Cholesterol,胆固醇,4,30,44,66
植物性乳酸菌K-2,ING-0130,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,3,10,38,49
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F22,尿酸値,Uric Acid,尿酸水平,3,249,38,75
N-アセチルグルコサミン,ING-0013,グルコサミン,F11,疲労感,Anti-Fatigue,抗疲劳,3,94,38,75
松樹皮由来プロシアニジンB1及びB3,ING-0070,りんご,F25,育毛,Hair Growth,育发,3,25,38,61
CRL1505乳酸菌,ING-0244,乳酸菌・プロバイオティクス,F16,免疫,Immunity,免疫力,3,3,38,34
熟成にんにくエキス (指標成分:S-アリルシステイン、アルギニン),ING-0163,熟成にんにくエキス (指標成分,F07,認知機能,Cognitive Function,认知功能,3,6,38,42
コエンザイムQ10,ING-0245,コエンザイムQ10,F11,疲労感,Anti-Fatigue,抗疲劳,3,3,38,34
クロセチン,ING-0049,クロセチン,F15,肌の健康,Skin Health,皮肤健康,3,43,38,68
NMN (β-ニコチンアミドモノヌクレオチド),ING-0167,NMN (β-ニコチンアミドモ,F15,肌の健康,Skin Health,皮肤健康,3,6,38,42
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F03,血圧,Blood Pressure,血压,3,45,38,69
トマト由来食物繊維,ING-0217,食物繊維,F02,血糖値,Blood Sugar,血糖调节,3,4,38,37
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F07,認知機能,Cognitive Function,认知功能,3,101,38,75
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F08,集中力,Concentration,专注力,3,101,38,75
コーヒー豆マンノオリゴ糖,ING-0218,コーヒー由来成分,F01,腸内環境,Gut Health,肠道健康,3,4,38,37
パイナップル由来グルコシルセラミド,ING-0035,セラミド,F10,リラックス,Stress Relief,放松减压,3,57,38,72
サラシア由来ネオコタラノール,ING-0219,サラシアネオコタラノール,F05,体脂肪,Body Fat,体脂肪,3,4,38,37
ヒハツ由来ピペリン類,ING-0012,ヒハツ,F03,血圧,Blood Pressure,血压,3,96,38,75
難消化性デキストリン (食物繊維),ING-0077,食物繊維,F05,体脂肪,Body Fat,体脂肪,3,22,38,59
ビフィズス菌 BB536,ING-0246,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,3,3,38,34
サフラン由来サフラナール,ING-0133,サフランサフラナール,F14,目の健康,Eye Health,眼部健康,3,10,38,49
クルクミン,ING-0081,ウコン,F05,体脂肪,Body Fat,体脂肪,3,20,38,58
納豆菌由来ナットウキナーゼ,ING-0078,ナットウキナーゼ,F05,体脂肪,Body Fat,体脂肪,3,22,38,59
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F07,認知機能,Cognitive Function,认知功能,3,45,38,69
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F19,筋肉,Muscle Health,肌肉健康,3,45,38,69
イヌリン,ING-0005,イヌリン,F10,リラックス,Stress Relief,放松减压,3,160,38,75
イヌリン,ING-0005,イヌリン,F12,骨の健康,Bone Health,骨骼健康,3,160,38,75
コーヒー豆由来クロロゲン酸類,ING-0221,コーヒー由来成分,F11,疲労感,Anti-Fatigue,抗疲劳,3,4,38,37
オリーブオイルポリフェノール,ING-0248,オリーブ由来成分,F06,コレステロール,Cholesterol,胆固醇,3,3,38,34
オリーブオイルポリフェノール,ING-0248,オリーブ由来成分,F17,抗酸化,Antioxidant,抗氧化,3,3,38,34
NMN (β-ニコチンアミドモノヌクレオチド),ING-0167,NMN (β-ニコチンアミドモ,F09,睡眠,Sleep Quality,睡眠质量,3,6,38,42
米由来グルコシルセラミド,ING-0051,セラミド,F14,目の健康,Eye Health,眼部健康,3,40,38,67
ゼアキサンチン,ING-0007,ルテイン,F03,血圧,Blood Pressure,血压,3,151,38,75
イソマルトデキストリン (食物繊維),ING-0164,食物繊維,F01,腸内環境,Gut Health,肠道健康,3,6,38,42
グアーガム分解物 (食物繊維),ING-0107,食物繊維,F15,肌の健康,Skin Health,皮肤健康,3,13,38,52
イチョウ葉由来フラボノイド配糖体,ING-0028,イチョウ葉,F10,リラックス,Stress Relief,放松减压,3,64,38,73
イチョウ葉由来テルペンラクトン,ING-0029,イチョウ葉,F10,リラックス,Stress Relief,放松减压,3,64,38,73
チャカサポニン,ING-0050,チャカサポニン,F03,血圧,Blood Pressure,血压,3,41,38,67
α-リノレン酸,ING-0061,α-リノレン酸,F15,肌の健康,Skin Health,皮肤健康,3,33,38,64
ラクトノナデカペプチド,ING-0249,ラクトノナデカペプチド,F07,認知機能,Cognitive Function,认知功能,3,3,38,34
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F27,血管の健康,Vascular Health,血管健康,3,44,38,68
松樹皮由来プロシアニジンB1及びB3,ING-0070,りんご,F20,血流,Blood Circulation,血液循环,3,25,38,61
α-シクロデキストリン,ING-0223,α-シクロデキストリン,F06,コレステロール,Cholesterol,胆固醇,3,4,38,37
パラチノース,ING-0250,パラチノース,F02,血糖値,Blood Sugar,血糖调节,3,3,38,34
インドマンゴスチン由来ガルシノール,ING-0085,インドマンゴスチンガルシノール,F22,尿酸値,Uric Acid,尿酸水平,3,19,38,57
ルテオリン,ING-0039,ルテオリン,F11,疲労感,Anti-Fatigue,抗疲劳,3,53,38,71
プラズマ乳酸菌,ING-0017,乳酸菌・プロバイオティクス,F11,疲労感,Anti-Fatigue,抗疲劳,3,75,38,75
豚由来コラーゲンペプチド,ING-0251,コラーゲン,F15,肌の健康,Skin Health,皮肤健康,3,3,38,34
コーヒー由来トリゴネリン,ING-0252,コーヒー由来成分,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
緑茶フッ素,ING-0253,緑茶カテキン,F23,口腔ケア,Oral Health,口腔健康,3,3,38,34
クルクミン類,ING-0226,ウコン,F13,関節,Joint Health,关节健康,3,4,38,37
セサミン類,ING-0254,ごま,F11,疲労感,Anti-Fatigue,抗疲劳,3,3,38,34
セサミン類,ING-0254,ごま,F17,抗酸化,Antioxidant,抗氧化,3,3,38,34
エノテインB,ING-0255,エノテインB,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
スルフォラファングルコシノレート,ING-0041,スルフォラファン,F06,コレステロール,Cholesterol,胆固醇,3,51,38,70
スルフォラファングルコシノレート,ING-0041,スルフォラファン,F17,抗酸化,Antioxidant,抗氧化,3,51,38,70
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F21,肝機能,Liver Health,肝脏健康,3,44,38,68
ロスマリン酸,ING-0151,ローズマリー由来成分,F09,睡眠,Sleep Quality,睡眠质量,3,7,38,44
ロスマリン酸,ING-0151,ローズマリー由来成分,F10,リラックス,Stress Relief,放松减压,3,7,38,44
ヒアルロン酸Na,ING-0088,ヒアルロン酸,F09,睡眠,Sleep Quality,睡眠质量,3,18,38,56
ヒアルロン酸Na,ING-0088,ヒアルロン酸,F13,関節,Joint Health,关节健康,3,18,38,56
アスタキサンチン,ING-0008,アスタキサンチン,F19,筋肉,Muscle Health,肌肉健康,3,133,38,75
植物性乳酸菌K-1,ING-0018,乳酸菌・プロバイオティクス,F03,血圧,Blood Pressure,血压,3,75,38,75
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F19,筋肉,Muscle Health,肌肉健康,3,117,38,75
熟成にんにくエキス (指標成分:S-アリルシステイン、アルギニン),ING-0163,熟成にんにくエキス (指標成分,F09,睡眠,Sleep Quality,睡眠质量,3,6,38,42
熟成にんにくエキス (指標成分:S-アリルシステイン、アルギニン),ING-0163,熟成にんにくエキス (指標成分,F11,疲労感,Anti-Fatigue,抗疲劳,3,6,38,42
ヒハツ由来ピペリン類,ING-0012,ヒハツ,F19,筋肉,Muscle Health,肌肉健康,3,96,38,75
小麦由来アラビノキシラン,ING-0228,小麦アラビノキシラン,F02,血糖値,Blood Sugar,血糖调节,3,4,38,37
エラグ酸,ING-0004,エラグ酸,F22,尿酸値,Uric Acid,尿酸水平,3,188,38,75
サケ鼻軟骨由来プロテオグリカン・サケ鼻軟骨由来II型コラーゲン,ING-0229,コラーゲン,F19,筋肉,Muscle Health,肌肉健康,3,4,38,37
ウコンエキス(指標成分:ウコン由来多糖類、p-クマル酸),ING-0257,ウコン,F13,関節,Joint Health,关节健康,3,3,38,34
ウコンエキス(指標成分:ウコン由来多糖類、p-クマル酸),ING-0257,ウコン,F19,筋肉,Muscle Health,肌肉健康,3,3,38,34
ルテオリン,ING-0039,ルテオリン,F14,目の健康,Eye Health,眼部健康,3,53,38,71
ルテオリン,ING-0039,ルテオリン,F26,アレルギー,Allergy Relief,抗过敏,3,53,38,71
イチョウ葉フラボノイド配糖体,ING-0059,イチョウ葉,F14,目の健康,Eye Health,眼部健康,3,34,38,64
バタフライピー由来アントシアニン(テルナチン),ING-0157,ブルーベリー,F04,中性脂肪,Triglycerides,甘油三酯,3,7,38,44
乳酸菌Lactococcus lactis H61,ING-0260,乳酸菌・プロバイオティクス,F15,肌の健康,Skin Health,皮肤健康,3,3,38,34
グルコシルセラミド,ING-0092,セラミド,F09,睡眠,Sleep Quality,睡眠质量,3,17,38,55
N-アセチルグルコサミン,ING-0013,グルコサミン,F14,目の健康,Eye Health,眼部健康,3,94,38,75
DHA,ING-0040,魚油（DHA・EPA）,F20,血流,Blood Circulation,血液循环,3,53,38,71
ビフィズス菌B-3,ING-0197,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,3,5,38,40
桑葉由来モラノリン,ING-0261,桑葉モラノリン,F02,血糖値,Blood Sugar,血糖调节,3,3,38,34
酢酸,ING-0027,醸造酢,F01,腸内環境,Gut Health,肠道健康,3,65,38,73
醤油粕由来セラミドAP,ING-0262,セラミド,F15,肌の健康,Skin Health,皮肤健康,3,3,38,34
ロイシン40%配合必須アミノ酸〔ロイシン,ING-0263,ロイシン40%配合必須アミノ酸,F19,筋肉,Muscle Health,肌肉健康,3,3,38,34
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F06,コレステロール,Cholesterol,胆固醇,3,249,38,75
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F17,抗酸化,Antioxidant,抗氧化,3,249,38,75
ゲッケイジュ葉エキス(指標成分:デアセチルラウレノビオリド、コスツノリド),ING-0265,ゲッケイジュ葉エキス(指標成分,F23,口腔ケア,Oral Health,口腔健康,3,3,38,34
茶カテキン,ING-0026,緑茶カテキン,F01,腸内環境,Gut Health,肠道健康,3,67,38,74
ローズヒップ由来ティリロサイド,ING-0022,ローズヒップティリロサイド,F02,血糖値,Blood Sugar,血糖调节,3,71,38,75
アリイン,ING-0266,アリイン,F06,コレステロール,Cholesterol,胆固醇,3,3,38,34
ターミナリアベリリカ由来没食子酸,ING-0021,ターミナリアベリリカ没食子酸,F03,血圧,Blood Pressure,血压,3,72,38,75
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F11,疲労感,Anti-Fatigue,抗疲劳,3,129,38,75
ヒドロキシクエン酸,ING-0076,ガルシニア,F02,血糖値,Blood Sugar,血糖调节,3,23,38,60
"ラブダン型ジテルペン類(-Labda-8(17),12-diene-15,16-dial)",ING-0269,ラブダン型ジテルペン類(-La,F13,関節,Joint Health,关节健康,3,3,38,34
ヒハツ由来ピペリン類,ING-0012,ヒハツ,F01,腸内環境,Gut Health,肠道健康,3,96,38,75
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F14,目の健康,Eye Health,眼部健康,3,57,38,72
枯草菌(バチルス・サブチルス)C-3102株,ING-0270,枯草菌(バチルス・サブチルス),F01,腸内環境,Gut Health,肠道健康,3,3,38,34
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F10,リラックス,Stress Relief,放松减压,3,75,38,75
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F11,疲労感,Anti-Fatigue,抗疲劳,3,75,38,75
GABA(ギャバ),ING-0128,GABA,F15,肌の健康,Skin Health,皮肤健康,3,11,38,50
ルテオリン,ING-0039,ルテオリン,F02,血糖値,Blood Sugar,血糖调节,3,53,38,71
ルテオリン,ING-0039,ルテオリン,F03,血圧,Blood Pressure,血压,3,53,38,71
GABA,ING-0001,GABA,F22,尿酸値,Uric Acid,尿酸水平,3,833,38,75
クワンソウ(アキノワスレグサ)由来オキシピナタニン,ING-0271,クワンソウ(アキノワスレグサ),F09,睡眠,Sleep Quality,睡眠质量,3,3,38,34
クワンソウ(アキノワスレグサ)由来オキシピナタニン,ING-0271,クワンソウ(アキノワスレグサ),F11,疲労感,Anti-Fatigue,抗疲劳,3,3,38,34
レスベラトロール,ING-0194,ブドウ由来成分,F07,認知機能,Cognitive Function,认知功能,3,5,38,40
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F08,集中力,Concentration,专注力,3,249,38,75
L-アルギニン,ING-0272,L-アルギニン,F02,血糖値,Blood Sugar,血糖调节,3,3,38,34
サラシノール,ING-0273,サラシノール,F01,腸内環境,Gut Health,肠道健康,3,3,38,34
サラシノール,ING-0273,サラシノール,F02,血糖値,Blood Sugar,血糖调节,3,3,38,34
サラシノール,ING-0273,サラシノール,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
BCAA(バリン、ロイシン、イソロイシンの総称),ING-0274,BCAA(バリン、ロイシン、イ,F11,疲労感,Anti-Fatigue,抗疲劳,3,3,38,34
BCAA(バリン、ロイシン、イソロイシンの総称),ING-0274,BCAA(バリン、ロイシン、イ,F19,筋肉,Muscle Health,肌肉健康,3,3,38,34
イチョウ葉フラボノイド配糖体及びイチョウ葉テルペンラクトン,ING-0275,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,3,3,38,34
ヒスチジン,ING-0148,ヒスチジン,F11,疲労感,Anti-Fatigue,抗疲劳,3,8,38,46
Lactobacillus plantarum OLL2712株,ING-0276,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
ガレート型カテキン,ING-0048,緑茶カテキン,F06,コレステロール,Cholesterol,胆固醇,3,44,38,68
3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸,ING-0025,3-(4-ヒドロキシ-3-メト,F19,筋肉,Muscle Health,肌肉健康,3,68,38,74
イチョウ葉由来フラボノイド配糖体及びイチョウ葉由来テルペンラクトン,ING-0052,イチョウ葉,F11,疲労感,Anti-Fatigue,抗疲劳,3,39,38,67
イチョウ葉由来フラボノイド配糖体及びイチョウ葉由来テルペンラクトン,ING-0052,イチョウ葉,F14,目の健康,Eye Health,眼部健康,3,39,38,67
イソマルトオリゴ糖,ING-0278,イソマルトオリゴ糖,F01,腸内環境,Gut Health,肠道健康,3,3,38,34
HMBカルシウム(3-ヒドロキシ-3-メチル酪酸カルシウム水和物),ING-0279,カルシウム,F12,骨の健康,Bone Health,骨骼健康,3,3,38,34
HMBカルシウム(3-ヒドロキシ-3-メチル酪酸カルシウム水和物),ING-0279,カルシウム,F19,筋肉,Muscle Health,肌肉健康,3,3,38,34
L-テアニン,ING-0038,テアニン,F07,認知機能,Cognitive Function,认知功能,3,55,38,71
5-ジグルコシド,ING-0280,5-ジグルコシド,F11,疲労感,Anti-Fatigue,抗疲劳,3,3,38,34
5-ジグルコシド,ING-0280,5-ジグルコシド,F14,目の健康,Eye Health,眼部健康,3,3,38,34
5-ジグルコシド,ING-0280,5-ジグルコシド,F15,肌の健康,Skin Health,皮肤健康,3,3,38,34
メチル化カテキン(エピガロカテキン-3-O-(3-O-メチル)ガレート),ING-0180,緑茶カテキン,F26,アレルギー,Allergy Relief,抗过敏,3,6,38,42
大豆イソフラボン,ING-0023,大豆イソフラボン,F03,血圧,Blood Pressure,血压,3,68,38,74
プロシアニジンB1及びB3,ING-0281,りんご,F06,コレステロール,Cholesterol,胆固醇,3,3,38,34
プロシアニジンB1及びB3,ING-0281,りんご,F27,血管の健康,Vascular Health,血管健康,3,3,38,34
イチョウ葉フラボノイド配糖体およびイチョウ葉テルペンラクトン,ING-0150,イチョウ葉,F20,血流,Blood Circulation,血液循环,3,8,38,46
甘草由来グラブリジン,ING-0282,甘草グラブリジン,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
α‐シクロデキストリン,ING-0283,α‐シクロデキストリン,F02,血糖値,Blood Sugar,血糖调节,3,3,38,34
ルテイン,ING-0002,ルテイン,F20,血流,Blood Circulation,血液循环,3,254,38,75
ナス由来コリンエステル(アセチルコリン),ING-0284,ナスコリンエステル(アセチルコ,F03,血圧,Blood Pressure,血压,3,3,38,34
L.カゼイ菌,ING-0285,L.カゼイ菌,F01,腸内環境,Gut Health,肠道健康,3,3,38,34
アスタキサンチン,ING-0008,アスタキサンチン,F04,中性脂肪,Triglycerides,甘油三酯,3,133,38,75
カゼイ菌,ING-0286,カゼイ菌,F01,腸内環境,Gut Health,肠道健康,3,3,38,34
エノキタケ由来脂肪酸(リノール酸、α-リノレン酸),ING-0287,エノキタケ脂肪酸(リノール酸、,F05,体脂肪,Body Fat,体脂肪,3,3,38,34
ナス由来コリンエステル (アセチルコリン),ING-0288,ナスコリンエステル (アセチル,F03,血圧,Blood Pressure,血压,2,2,30,27
麹菌Aspergillus oryzae HJ1株,ING-0289,麹菌Aspergillus o,F01,腸内環境,Gut Health,肠道健康,2,2,30,27
麹菌Aspergillus oryzae HJ1株,ING-0289,麹菌Aspergillus o,F15,肌の健康,Skin Health,皮肤健康,2,2,30,27
麹由来グルコシルセラミド,ING-0290,セラミド,F01,腸内環境,Gut Health,肠道健康,2,2,30,27
麹由来グルコシルセラミド,ING-0290,セラミド,F15,肌の健康,Skin Health,皮肤健康,2,2,30,27
セイタカミロバラン果実由来没食子酸,ING-0103,セイタカミロバラン果実没食子酸,F19,筋肉,Muscle Health,肌肉健康,2,14,30,50
乳酸菌K-1,ING-0291,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,2,2,30,27
D-β-ヒドロキシ酪酸,ING-0292,D-β-ヒドロキシ酪酸,F05,体脂肪,Body Fat,体脂肪,2,2,30,27
乳酸菌LP0132,ING-0293,乳酸菌・プロバイオティクス,F26,アレルギー,Allergy Relief,抗过敏,2,2,30,27
ラクチュロース,ING-0083,ラクチュロース,F12,骨の健康,Bone Health,骨骼健康,2,19,30,54
ラクチュロース,ING-0083,ラクチュロース,F13,関節,Joint Health,关节健康,2,19,30,54
ラクチュロース,ING-0083,ラクチュロース,F15,肌の健康,Skin Health,皮肤健康,2,19,30,54
キンミズヒキ由来アグリモール類,ING-0294,キンミズヒキアグリモール類,F11,疲労感,Anti-Fatigue,抗疲劳,2,2,30,27
Enterococcus faecalis KH2株 (ナノ型乳酸菌nEF),ING-0295,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,2,2,30,27
パッションフラワー由来フラボノイド,ING-0296,パッションフラワーフラボノイド,F11,疲労感,Anti-Fatigue,抗疲劳,2,2,30,27
非変性II型コラーゲン,ING-0056,コラーゲン,F09,睡眠,Sleep Quality,睡眠质量,2,35,30,62
パプリカ由来カロテノイド,ING-0165,パプリカカロテノイド,F13,関節,Joint Health,关节健康,2,6,30,39
